,SNname,lcvquality,image subtraction needed,Type,PAIRITEL,P13 UV data,RA,DEC,radeg,decdeg,hostgal,separation ,inclination from leida,,,v_z,z,z_ref,distanced11,distance Mpc,MaxVdate,MaxVJD,"CfA photometric quality (1best, 3 worst)",CfA VJD bootstrap,CfA VJD bootstrap error,dVJD CfA bootstrap,CfA BJD bootstrap,CfA BJD error,CfA RJD bootstrap,CfA RJD error,CfA IJD bootstrap,CfA IJD error,MaxVMag,max_ref,D11Vmaxdate,D11Vmaxdateerr,D11Vmax,D11Vmaxerr,D11Rmaxdate,D11Rmaxdateerr,D11Rmax,D11Rmaxerr,cfaVmax,cfaVmaxerr,cfaUmax,cfaUmaxerr,cfaBmax,cfaBmaxerr,cfaRmax,cfaRmaxerr,cfaImax,cfaImaxerr,cfaJmax,cfaJmaxerr,cfaHmax,cfaHmaxerr,cfaKmax,cfaKmaxerr,CfA dm15,CfA dm15 linear,earliestV,inclination,inclination error,inclination/E(B-V) ref,axis ratio sdss,axis ratio,inclination from axes sdss,inclination from axes,E(B-V),E(B-V) SF2011,DFS E(B-V),E(b-v)host,E(b-v)hosterr,my E(B-V)host,v1 Fe II 5018 date,v1 Fe II 5018 ,v1 Fe II 5018 error,v2 FeII 5018 date,v2 Fe II 5018,v2 Fe II 5018 error,v1 Fe II 5169 date,v1 Fe II 5169 ,v1 Fe II 5169 error,v2 Fe II 5169 date,v2 Fe II 5169,v2 Fe II 5169 error,Fe II 5169 new,Fe II 5169 at maximum (linear interpolation),Fe II 5018 at maximum (linear interpolation),Dm15 (with Lyman BC correction),comment
KEPLER,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,,,,,,,,,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,--,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,################,###############,###############,################,###############,###############,################,################,################,################,,################,################,,###############
ADDITIONAL,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,,,,,,,,,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,################,###############,###############,################,###############,###############,################,###############,################,################,,################,################,,###############
*nospec,###############,,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,,,,,,,,,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,--,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,###############,################,###############,###############,################,###############,###############,################,###############,###############,################,,################,################,,###############
,sn1993J,0,?,IIb,0,0,9:55:25,+69:01:13.0,148.854166667,69.0202777778,M81,-,--,16.52,8.425,-140,-0.00047,M00,--,2.6,19930417.5,2449095,-99,<0000000,--,#VALUE!,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,10.8,R94,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,--,--,--,--,--,0.50998789346247,--,64.39417189777,--,0.069,0.0803,--,--,0.292746852456485,10.5,-6068.4,103.6,11.5,-6007.4,102,-2.5,-7787.3,324.3,-3.5,-7854.3,340.7,,-7444.51,-,,"date of exp1993/03/27.5 (JD2,449,074) : ONLY VERY VERY LATE time spec"
,sn1994I,0,?,Ic,0,0,13:29:54,+47:11:31.7,202.475,47.1921388889,M51,-,--,8.217,5.587,461,0.0015377,M99,7.1,6.63696546547,19940409,2449451.4,-99,<0000000,--,#VALUE!,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,12.91,R96,49450.94,0.03,12.91,0.02,49451.42,0.04,12.65,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,--,53,"(+1,-1)",D11/D11,--,0.679931848606547,--,51.4530521263115,0.035,0.0302,0.0351,0.42,--,0.233914321985074,2.1,-14036.2,1772.6,3.1,-13717.6,2503.2,-0.9,-12853.14,2060.7,1.1,-10512.48,1729.6,,-11753,-,,"estimated JDexp 27 March 1994 (=2449438.5 from Iwamoto,Sauer) /NGC5194"
,sn1995bb,0,?,Ib/c,0,0,0:16:17,+12:24:53.4,4.07083333333,12.4148333333,Anon.,-,--,--,--,1610,0.00537,M01,--,23.1392109274,<00000000,<00000000,-99,<0000000,--,#VALUE!,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,99.9,NA,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,--,--,--,--,--,--,--,--,--,0.0948,0.0361,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,(Peter G IAUC 1740)
,sn1995F,0,?,Ib,0,0,9:04:57,+59:55:58.7,136.2375,59.9329722222,NGC2726,-,90,1.603,0.577,1440,0.0048,M01,--,20.6785901248,<00000000,<00000000,-99,<0000000,--,#VALUE!,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,99.9,NA,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,--,--,--,--,--,0.359950093574548,--,75.2172647808867,--,0.0311,0.1102,--,--,0.341950472628924,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,;
,sn1996cb,0,?,IIb,0,0,11:03:41,+28:54:13.7,165.920833333,28.9038055556,NGC3510,-,78.1,2.3,0.46,800,0.00269,M01,--,11.5886617699,19970105.9,2450454.4,-99,<0000000,--,#VALUE!,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,13.9,Q99,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,--,--,--,--,--,0.2,--,93.0026544081112,--,0.0262,0.0304,--,--,0.422805877390523,-0.9,-8714.5,8,3.1,-7396.8,1812.6,-0.9,-8375.2,45.1,3.1,-5635.9,1559.5,,-7758.86,-8418.04,,(also BR light curves with max measured)
,sn1997dq,0,?,Ic,0,0,11:40:55,+11:28:45.7,175.229166667,11.4793611111,NGC3810,-,48.2,3.053,2.076,993,0.00331,M01,--,14.2565811451,<19971102,<2450754.5,-99,<0000000,--,#VALUE!,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,99.9,IAUC,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,--,--,--,--,--,0.679986898132984,--,51.4485513596453,--,0.0382,0.0426,--,--,0.233893860734679,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,;but mazzali makes comp with 97ef LC 38+exp
,sn1997ef,0,?,Ic-bl,0,0,7:57:02,+49:33:40.2,119.258333333,49.5611666667,UGC4107,-,--,1.75,1.225,3400,0.011341,SN,--,49.0439541829,19971211.5,2450794.1,-99,<0000000,--,#VALUE!,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,17.1,CfA,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,--,--,--,--,--,0.7,--,49.7930408955037,--,0.0366,0.0276,--,--,0.226367628727912,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,"; Peter's; data, my fit, JDexp: November 20 1997 =JD 2450772.5)  Mazzali04"
