lcvquality dfseb-v
0.0803 0.069
0.0351 0.0302
0.1102 0.0311
0.0361 0.0948
0.0304 0.0262
0.0445 0.0237
0.0426 0.0382
0.0276 0.0366
0.0255 0.0219
0.0445 0.0382
0.2284 0.1964
0.0094 0.0081
0.0535 0.046
0.0115 0.0098
0.0721 0.062
0.0253 0.0217
0.044 0.0784
0.0209 0.018
0.1038 0.0893
0.1578 0.1357
0.0482 0.0415
0.0542 0.0466
0.0244 0.021
0.0327 0.0281
0.0877 0.0754
0.0287 0.0247
0.0729 0.0627
0.0463 0.0398
0.0333 0.0286
0.0167 0.0143
0.0458 0.0394
0.0113 0.0097
0.0448 0.0385
0.2888 0.2483
0.068 0.0585
0.1047 0.0901
0.044 0.0378
0.0255 0.0219
0.0116 0.01
0.0178 0.0153
0.0372 0.032
- 0.1635
0.0752 0.0647
0.1473 0.1267
-- 0.0452
-- 0.0216
-- 0.0094
0.0285 0.0245
0.1131 0.0973
0.036 0.031
0.0291 0.025
- 0.0205
- 0.0393
0.0201 0.0173
0.0647 0.0556
0.0167 0.0144
0.0285 0.0245
- 0.0178
0.0422 0.0363
0.335 0.2881
0.0291 0.025
0.029 0.025
- 0.0338
0.0208 0.0179
0.0233 0.02
0.043 0.037
0.0622 0.0535
0.1374 0.0518
0.0602 0.1182
-- 0.0954
0.0804 0.0691
0.2621 0.2254
0.2003 0.1723
0.0225 0.0194
0.0226 0.0194
0.0523 0.045
0.0445 0.0383
0.0217 0.0186
0.0597 0.0513
0.007 0.006
- 0.0427
0.0453 0.0389
0.0847 0.0729
0.1129 0.0971
