#jd epoch U dU B dB V dV R dR I dI z dz      
2452304.67	14.014 0.074	14.417 0.023	13.841 0.026	13.596 0.024	13.699 0.015 nan nan 
2452305.63	13.200 0.031	13.451 0.015	13.130 0.021	13.136 0.020	13.281 0.018 nan nan 
2452306.62	13.029 0.031	13.172 0.018	12.803 0.021	12.845 0.024	13.019 0.029 nan nan 
2452307.62	12.933 0.037	12.978 0.021	12.575 0.020	12.651 0.017	12.837 0.024 nan nan 
2452308.62	12.859 0.039	12.857 0.017	12.410 0.016	12.490 0.016	12.718 0.023 nan nan 
2452309.63	12.834 0.033	12.786 0.019	12.318 0.028	12.397 0.021	12.604 0.017 nan nan 
2452310.62	12.878 0.039	12.728 0.019	12.228 0.024	12.280 0.015	12.483 0.023 nan nan 
2452311.63	12.921 0.039	12.726 0.028	12.158 0.017	12.194 0.018	12.384 0.026 nan nan 
2452314.63	13.350 0.034	12.885 0.013	12.143 0.018	12.079 0.023	12.240 0.019 nan nan 
2452315.63	13.504 0.045	12.964 0.018	12.155 0.020	12.068 0.019	12.207 0.020 nan nan 
2452316.63	13.683 0.050	13.064 0.015	12.231 0.021	12.089 0.016	12.217 0.018 nan nan 
2452317.63	13.866 0.058	13.152 0.023	12.241 0.024	12.092 0.016	12.177 0.027 nan nan 
2452318.63	14.013 0.041	13.278 0.016	12.331 0.020	12.130 0.018	12.222 0.026 nan nan 
2452320.63	14.287 0.041	13.482 0.017	12.470 0.022	12.209 0.018	12.245 0.023 nan nan 
2452321.63	14.417 0.047	13.560 0.026	12.528 0.026	12.253 0.024	12.271 0.022 nan nan 
2452326.64	14.923 0.057	14.027 0.021	12.870 0.024	12.505 0.021	12.411 0.022 nan nan 
2452327.63	15.092 0.040	14.070 0.024	12.942 0.023	12.574 0.023	12.451 0.020 nan nan 
2452329.63	15.116 0.051	14.237 0.029	13.093 0.023	12.687 0.019	12.527 0.024 nan nan 
2452330.63	15.106 0.066	14.311 0.023	13.179 0.025	12.751 0.018	12.561 0.027 nan nan 
2452333.64	15.470 0.037	14.499 0.040	13.421 0.026	12.940 0.018	12.658 0.025 nan nan 
2452334.64	15.518 0.059	14.604 0.023	13.495 0.022	13.033 0.022	12.744 0.022 nan nan 
2452335.64	15.543 0.066	14.650 0.026	13.591 0.027	13.095 0.031	12.789 0.026 nan nan 
2452337.64	15.691 0.075	14.778 0.023	13.728 0.029	13.241 0.023	12.886 0.015 nan nan 
2452338.64	15.647 0.087	14.837 0.023	13.808 0.033	13.307 0.024	12.933 0.020 nan nan 
2452342.64	nan nan	15.003 0.030	14.041 0.047	nan nan	nan nan nan nan 
2452437.00	nan nan	16.364 0.016	15.870 0.021	15.195 0.023	14.945 0.027 nan nan 
2452437.99	nan nan	16.353 0.020	15.903 0.017	15.203 0.020	15.001 0.017 nan nan 
2452464.99	nan nan	16.778 0.026	16.457 0.017	15.576 0.020	15.494 0.026 nan nan 
2452465.99	nan nan	16.802 0.024	16.481 0.015	15.604 0.025	15.538 0.029 nan nan 
2452492.98	nan nan	17.302 0.020	17.135 0.023	16.077 0.020	16.042 0.017 nan nan 
2452524.96	nan nan	17.802 0.023	17.797 0.017	16.525 0.018	16.672 0.019 nan nan 
2452526.00	nan nan	17.868 0.023	17.781 0.034	16.524 0.026	16.640 0.038 nan nan 
2452551.85	nan nan	18.284 0.032	18.217 0.027	17.011 0.030	17.133 0.064 nan nan 
2452551.87	nan nan	18.316 0.032	18.317 0.027	16.906 0.030	17.169 0.064 nan nan 
2452552.82	nan nan	18.316 0.029	18.285 0.041	16.970 0.037	17.098 0.064 nan nan 
2452582.75	nan nan	18.614 0.096	18.751 0.043	17.460 0.038	17.628 0.053 nan nan 
2452583.80	nan nan	18.785 0.073	18.814 0.037	17.456 0.037	17.664 0.047 nan nan 
2452613.74	nan nan	19.281 0.095	19.201 0.050	17.927 0.062	18.156 0.063 nan nan 
