#jd epoch u du g dg r dr i di B dB V dV  
2454150.53 nan nan  nan nan  nan nan  nan nan  17.658 .024  16.994 .024     
2454153.51 nan nan  nan nan  nan nan  nan nan  16.724 .015  16.386 .015     
2454154.51 16.990 .015  16.275 .015  16.222 .015  16.336 .015  16.481 .015  16.205 .015 
2454155.52 nan nan  nan nan  16.075 .015  16.184 .015  16.282 .015  16.054 .015   
2454156.51 nan nan  nan nan  nan nan  nan nan  16.210 .064  nan nan      
2454158.52 16.064 .015  15.700 .015  15.722 .015  15.804 .015  15.864 .015  15.687 .015 
2454159.52 15.960 .015  15.608 .015  15.634 .015  15.717 .015  15.775 .015  15.596 .015 
2454160.51 15.877 .016  15.552 .015  15.553 .015  15.620 .015  15.717 .015  15.526 .015 
2454161.50 15.845 .021  15.506 .015  15.487 .015  15.552 .015  15.692 .015  15.469 .015 
2454163.51 15.921 .015  15.432 .015  15.364 .015  15.423 .015  15.644 .015  15.372 .015 
2454165.50 16.183 .016  15.461 .015  15.297 .015  15.336 .015  15.707 .015  15.332 .015 
2454166.52 16.452 .015  15.518 .015  15.286 .015  15.325 .015  15.789 .015  15.349 .015 
2454169.50 17.398 .015  15.800 .015  15.370 .015  15.382 .015  16.188 .015  15.519 .015 
2454170.50 17.716 .016  15.923 .015  15.442 .015  15.408 .015  16.349 .015  15.620 .015 
2454171.51 nan nan  nan nan  15.517 .015  15.444 .015  16.520 .015  15.719 .015   
2454174.50 18.887 .045  16.431 .015  15.727 .015  15.565 .015  16.979 .015  16.014 .015 
2454179.49 19.420 .081  16.858 .015  16.005 .015  15.741 .015  17.492 .015  16.354 .015 
2454185.50 19.842 .157  17.147 .015  16.246 .015  15.981 .015  17.816 .015  16.623 .015 
2454190.49 19.740 .213  17.278 .015  16.404 .015  16.127 .015  17.915 .021  16.726 .015 
2454194.48 19.418 .146  17.384 .015  16.514 .015  16.231 .015  17.956 .026  16.845 .015 
2454197.48 19.478 .103  17.429 .015  nan nan  nan nan  18.063 .015  nan nan    
2454204.47 19.399 .152  nan nan  nan nan  nan nan  nan nan  17.034 .015     
2454204.48 19.408 .104  nan nan  nan nan  nan nan  nan nan  nan nan      
2454434.11 nan nan  nan nan  20.951 .077  20.658 .108  22.517 .127  21.900 .081   
2454507.03 nan nan  nan nan  22.151 .162  21.983 .150  23.521 .185  23.159 .125   
