#jd epoch g dg r dr i di z dz
2454475.34 18.75 0.10 18.13 0.06 nan nan nan  nan
2454476.38 18.48 0.12 18.00 0.05 17.85 0.05 17.59 0.06
2454477.37 18.57 0.08 18.01 0.07 17.86 0.05 17.49 0.07
2454477.50 nan nan 18.19 0.07 nan nan nan  nan
2454478.37 18.78 0.15 18.11 0.15 17.92 0.05 17.61 0.09
2454478.48 nan nan 18.18 0.06 nan nan nan  nan
2454479.32 18.81 0.05 18.18 0.09 17.91 0.05 17.61 0.07
2454479.45 nan nan 18.16 0.08 nan nan nan  nan
2454480.36 18.51 0.08 17.87 0.05 17.67 0.05 17.27 0.10
2454480.45 18.74 0.08 17.99 0.05 17.73 0.00 nan  nan
2454481.36 18.49 0.06 17.88 0.11 17.57 0.04 17.15 0.05
2454481.49 nan nan 17.83 0.05 nan nan nan  nan
2454482.43 nan nan 17.70 0.06 nan nan nan  nan
2454483.35 18.35 0.05 17.55 0.10 17.33 0.05 16.89 0.12
2454483.43 nan nan 17.58 0.06 nan nan nan  nan
2454484.35 18.21 0.09 17.45 0.07 17.22 0.05 16.77 0.05
2454484.49 nan nan 17.33 0.04 nan nan nan  nan
2454485.34 17.94 0.07 17.23 0.05 17.00 0.04 16.56 0.07
2454490.46 nan nan 17.09 0.05 nan nan nan  nan
2454496.32 17.84 0.04 16.96 0.04 16.74 0.04 16.20 0.05
2454497.22 17.83 0.05 16.87 0.05 16.67 0.05 16.19 0.05
2454502.26 18.07 0.05 17.02 0.05 nan nan  16.29 0.05
2454504.27 18.11 0.07 17.07 0.06 16.84 0.08 16.28 0.05
2454505.27 18.29 0.05 17.17 0.06 16.83 0.04 16.36 0.05
2454506.27 18.31 0.04 17.22 0.08 16.89 0.04 16.39 0.08
2454507.26 18.41 0.05 17.25 0.06 16.93 0.05 16.43 0.05
2454507.58 17.89 0.09 17.02 0.05 16.69 0.06 nan nan
2454508.26 18.57 0.05 17.31 0.05 16.97 0.03 16.48 0.03
2454509.26 18.53 0.05 17.39 0.05 17.04 0.05 16.46 0.05
2454511.41 18.60 0.08 17.45 0.05 16.99 0.05 nan nan
2454512.26 18.83 0.06 17.54 0.04 17.16 0.04 16.62 0.05
2454513.22 18.82 0.05 17.56 0.07 17.21 0.06 16.63 0.03
2454514.19 nan nan  17.71 0.05 17.23 0.05 16.60 0.05
2454515.40 nan nan  nan nan   nan nan 16.69 0.08
2454515.43 19.16 0.09 17.71 0.05 17.18 0.06 nan nan
2454519.37 19.42 0.08 17.91 0.06 17.33 0.06 nan nan
2454522.27 19.29 0.06 17.97 0.06 17.50 0.03 16.90 0.07
2454523.26 19.43 0.04 17.96 0.06 17.58 0.06 16.89 0.07
2454523.40 19.55 0.08 18.10 0.06 17.49 0.06 nan nan
2454524.26 19.34 0.10 17.98 0.07 17.57 0.05 16.88 0.06
2454525.26 19.34 0.08 17.99 0.07 17.60 0.06 16.95 0.08
2454529.26 19.43 0.08 18.15 0.08 17.70 0.06 17.01 0.09
2454530.25 19.60 0.07 18.19 0.08 17.78 0.05 16.99 0.08
2454531.27 19.55 0.08 18.15 0.09 17.75 0.05 17.11 0.08
2454531.38 19.70 0.08 18.25 0.06 17.64 0.07 nan nan
2454534.23 19.54 0.10 18.35 0.12 17.87 0.07 17.14 0.06
2454535.29 19.46 0.10 18.27 0.06 17.88 0.06 17.10 0.06
2454536.17 19.55 0.08 18.19 0.10 17.82 0.10 17.04 0.08
2454537.23 19.54 0.09 18.28 0.07 17.89 0.08 17.12 0.08
2454538.23 19.61 0.08 18.32 0.07 17.91 0.06 17.12 0.10
